main_command	main_description	command	description
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		p6[de] [len]	base64 decode/encode
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		p8[?][dfjx] [len]	8bit hexpair list of bytes
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		p=[?][bep] [N] [L] [b]	show entropy/printable chars/chars bars
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pa[?][edD] [arg]	pa:assemble pa[dD]:disasm or pae: esil from hex
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pA[n_ops]	show n_ops address and type
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pb[?] [n]	bitstream of N bits
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pB[?] [n]	bitstream of N bytes
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pc[?][p] [len]	output C (or python) format
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pC[aAcdDxw] [rows]	print disassembly in columns (see hex.cols and pdi)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pd[?] [sz] [a] [b]	disassemble N opcodes (pd) or N bytes (pD)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pf[?][.name] [fmt]	print formatted data (pf.name, pf.name $<expr>)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pF[?][apx]	print asn1, pkcs7 or x509
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pg[?][x y w h] [cmd]	create new visual gadget or print it (see pg? for details)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		ph[?][=|hash] ([len])	calculate hash for a block
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pi[?][bdefrj] [num]	print instructions
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pI[?][iI][df] [len]	print N instructions/bytes (f=func)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pj[?] [len]	print as indented JSON
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pk [len]	print key in randomart mosaic
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pK [len]	print key in randomart mosaic
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pl[?][format] [arg]	print list of data (pl Ffvc)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pm[?] [magic]	print libmagic data (see pm? and /m?)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		po[?] hex	print operation applied to block (see po?)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pp[?][sz] [len]	print patterns, see pp? for more help
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pq[?][is] [len]	print QR code with the first Nbytes
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pr[?][glx] [len]	print N raw bytes (in lines or hexblocks, 'g'unzip)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		ps[?][pwz] [len]	print pascal/wide/zero-terminated strings
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pt[?][dn] [len]	print different timestamps
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pu[w] [len]	print N url encoded bytes (w=wide)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pv[?][ejh] [mode]	show value of given size (1, 2, 4, 8)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pwd	display current working directory
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		px[?][owq] [len]	hexdump of N bytes (o=octal, w=32bit, q=64bit)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		py([-:file]) [expr]	print clipboard (yp) run python script (py:file) oneliner `py print(1)` or stdin slurp `py-`
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pz[?] [len]	print zoom view (see pz? for help)
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pkill [process-name]	kill all processes with the given name
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		pushd [dir]	cd to dir and push current directory to stack
p[=68abcdDfiImrstuxz] [arg|len] [@addr]		popd[-a][-h]	pop dir off top of stack and cd to it
p-[hej] [nblocks]	bar|json|histogram blocks	p- [nblocks]	show ascii-art bar of metadata in file boundaries
p-[hej] [nblocks]	bar|json|histogram blocks	p-e [nblocks]	show ascii-art bar of entropy per block
p-[hej] [nblocks]	bar|json|histogram blocks	p-h [nblocks]	show histogram analysis of metadata per block
p-[hej] [nblocks]	bar|json|histogram blocks	p-j [nblocks]	show json format
p8[*fjx]	[len]	p8 ([len])	print hexpairs string
p8[*fjx]	[len]	p8*	display r2 commands to write this block
p8[*fjx]	[len]	p8d	space separated list of byte values in decimal
p8[*fjx]	[len]	p8f	print hexpairs of function (linear)
p8[*fjx]	[len]	p8j	print hexpairs in JSON array
p8[*fjx]	[len]	p8x	print hexpairs honoring hex.cols
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	e zoom.in	specify range for zoom
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=	print bytes of current block in bars
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p==[..]	same subcommands as p=, using column bars instead of rows
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=0	number of 0x00 bytes for each filesize/blocksize
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=2	short (signed int16) bars, good for waves
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=a	analysis bbs maps
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=A	analysis stats maps (see p-)
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=b	analysis stats maps (see p-) 
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=c	number of calls per block
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=d	min/max/number of unique bytes in block
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=e	entropy for each filesize/blocksize
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=F	number of 0xFF bytes for each filesize/blocksize
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=i	number of invalid instructions per block
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=j	number of jumps and conditional jumps in block
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=m	number of flags and marks in block
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=p	number of printable bytes for each filesize/blocksize
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=s	number of syscall and privileged instructions
p=[=bep?][qj] [N] ([len]) ([offset])	show entropy/printable chars/chars bars	p=z	number of chars in strings in block
pa[edD] [asm|hex]	Print (dis)assembly	pa [assembly]	print hexpairs of the given assembly expression
pa[edD] [asm|hex]	Print (dis)assembly	paD [hexpairs]	print assembly expression from hexpairs and show hexpairs
pa[edD] [asm|hex]	Print (dis)assembly	pad [hexpairs]	print assembly expression from hexpairs (alias for pdx, pix)
pa[edD] [asm|hex]	Print (dis)assembly	pade [hexpairs]	print ESIL expression from hexpairs
pa[edD] [asm|hex]	Print (dis)assembly	pae [assembly]	print ESIL expression of the given assembly expression
pa[edD] [asm|hex]	Print (dis)assembly	pb[?] [n]	bitstream of N bits
pa[edD] [asm|hex]	Print (dis)assembly	pB[?] [n]	bitstream of N bytes
pc	# Print in code	pc	C
pc	# Print in code	pc*	print 'wx' r2 commands
pc	# Print in code	pcA	.bytes with instructions in comments
pc	# Print in code	pca	GAS .byte blob
pc	# Print in code	pcc	C char * multiline string
pc	# Print in code	pcd	C dwords (8 byte)
pc	# Print in code	pch	C half-words (2 byte)
pc	# Print in code	pci	C array of bytes with instructions
pc	# Print in code	pcJ	javascript
pc	# Print in code	pcj	json
pc	# Print in code	pck	kotlin
pc	# Print in code	pco	Objective-C
pc	# Print in code	pcp	python
pc	# Print in code	pcq	quiet C (include-friendly)
pc	# Print in code	pcr	rust
pc	# Print in code	pcg	Golang
pc	# Print in code	pcS	shellscript that reconstructs the bin
pc	# Print in code	pcs	string
pc	# Print in code	pcn	space separated list of numbers
pc	# Print in code	pcv	JaVa
pc	# Print in code	pcV	V (vlang.io)
pc	# Print in code	pcw	C words (4 byte)
pc	# Print in code	pcy	yara
pc	# Print in code	pcY	quiet yara
pc	# Print in code	pcz	Swift
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	NOTE: len	parameter can be negative
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	NOTE:	Pressing ENTER on empty command will repeat last print command in next page
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pD N	disassemble N bytes
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pd -N	disassemble N instructions backwards
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pd N	disassemble N instructions
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pd-- N	context disassembly of N instructions
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pda	disassemble all possible opcodes (byte per byte)
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdaj	disassemble all possible opcodes (byte per byte) in JSON
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdb[j]	disassemble basic block (j for JSON)
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdc[?][c]	pseudo disassembler output in C-like syntax
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdC	show comments found in N instructions
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pde[q|qq|j] N	disassemble N instructions following execution flow from current PC
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdo N	convert esil expressions of N instructions to C (pdO for bytes)
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdf[?]	disassemble function
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdi	like 'pi', with offset and bytes
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdj	disassemble to json
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdJ	formatted disassembly like pd as json
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdk[?]	disassemble all methods of a class
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdl	show instruction sizes
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdp	disassemble by following pointers to read ropchains
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdr	recursive disassemble across the function graph
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdr.	recursive disassemble across the function graph (from current basic block)
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdR	recursive disassemble block size bytes without analyzing functions
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pds[?]	print disasm summary, showing referenced names
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdsb [N]	basic block summary
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdsf[sjq]	show function summary of strings, calls, variables, references..
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdss [N]	string summary in current function
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdu[aceios?]	disassemble instructions until condition
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pd, [n] [query]	disassemble N instructions in a table (see dtd for debug traces)
p[dD][ajbrfils] [[-]len]	# Print N bytes/instructions bw/forward	pdx [hex]	alias for pad or pix
pdc[oj]	experimental, unreliable and hacky pseudo-decompiler	pdc	pseudo decompile function in current offset
pdc[oj]	experimental, unreliable and hacky pseudo-decompiler	pdcc	pseudo-decompile with C helpers around
pdc[oj]	experimental, unreliable and hacky pseudo-decompiler	pdco	show associated offset next to pseudecompiled output
pdc[oj]	experimental, unreliable and hacky pseudo-decompiler	pdcj	in json format for codemeta annotations (used by frontends like iaito)
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdf	disassemble function in a linear way (see pdfr)
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdfj	disassemble function in json (see pdfJ)
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdfr	disassemble function recursively (alias for pdr)
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdfs	disassemble function summary (see also pdsf)
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdk[?]	disassemble all methods of a class
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pds[?]	print disasm summary, showing referenced names
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdsb [N]	basic block summary
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdsf[sjq]	show function summary of strings, calls, variables, references..
pdf[sj]	# disassemble function (needs to be analized with 'af' or so)	pdss [N]	string summary in current function
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf fmt	show data using the given format-string. See 'pf??' and 'pf???'.
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf?	help on commands
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf??	help on format characters
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf???	show usage examples
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf* fmt_name|fmt	show data using (named) format as r2 flag create commands
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.	list all format definitions
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.fmt_name	show data using named format
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.fmt_name.field_name	show specific data field using named format
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.fmt_name.field_name=33	set new value for the specified field in named format
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.fmt_name.field_name[i]	show element i of array field_name
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf.fmt_name [0|cnt]fmt	define a new named format
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pf?fmt_name	show the definition of a named format
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfb[?] bitfmt	print formatted bitfields
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfc fmt_name|fmt	show data using (named) format as C string
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfd.fmt_name	show data using named format as graphviz commands
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfj fmt_name|fmt	show data using (named) format in JSON
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfo fdf_name	load a Format Definition File (fdf)
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfo	list all format definition files (fdf)
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfq fmt ...	quiet print format (do now show address)
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfs[.fmt_name|fmt]	print the size of (named) format in bytes
pf[.k[.f[=v]]|[v]]|[n]|[0|cnt][fmt] [a0 a1 ...]		pfv.fmt_name[.field]	print value(s) only for named format. Useful for one-liners
pfb	print formatted bitfields Examples:	pfb [fmt] [fnames]	print formatted bitfield in ascii art
pfb	print formatted bitfields Examples:	pfbc [fmt] [fnames]	same as pfb, but using C syntax
pfb	print formatted bitfields Examples:	pfbj [fmt] [fnames]	same as pfb but in json output
pfb	print formatted bitfields Examples:	pfbq [fmt] [fnames]	same as pfb, but quieter oneliner
pfb	print formatted bitfields Examples:	pfbd [fmt] [fnames]	same as pfb, but for debugging reasons
pfb	print formatted bitfields Examples:	pfb 3b4b foo bar	2 bitfields, first of 3 bits and second of 4
pfb	print formatted bitfields Examples:	pfb 3b+4b foo bar	2 bitfields, first of 3 bits and second of 4 , the + sign is ignored
pfb	print formatted bitfields Examples:	pfb 3b..4b foo bar	same as above, the + sign is ignored , but separated by 2 unused bits
pfb	print formatted bitfields Examples:	pfb 3b2.4b foo bar	same as above, but separated by 2 unused bits , you can use digits and dot
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFa[jqt] [len]	decode ASN1/DER from current block (PEM is B64(DER))
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFA[j] [len]	decode Android Binary XML from current block
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFb[vj] [len]	decode raw proto buffers in (verbose, JSON) format
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFB[j] [len]	decode iOS Binary PLIST from current block
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFo[j] [len]	decode ASN1 OID
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFp[j] [len]	decode PKCS7
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFx[j] [len]	Same with X509
pF[apdbA][*vqj] [len]	parse ASN1, PKCS, X509, DER, protobuf, axml	pFX [len]	print decompressed xz block
pg[-] [asm|hex]	print (dis)assembled	pg [x y w h cmd]	add a new gadget
pg[-] [asm|hex]	print (dis)assembled	pg	print them all
pg[-] [asm|hex]	print (dis)assembled	pg*	print the gadgets as r2 commands
pg[-] [asm|hex]	print (dis)assembled	pg-*	remove all the gadgets
ph	[algorithm] ([size])	ph md5	compute md5 hash of current block
ph	[algorithm] ([size])	ph:md5	same as 'ph md5' (colon acts as a space)
ph	[algorithm] ([size])	ph sha1 32 @ 0x1000	calculate sha1 of 32 bytes starting at 0x1000
ph	[algorithm] ([size])	ph	list available hash plugins (same as Lh and phl/phL)
ph	[algorithm] ([size])	phj	list available hash plugins in json
pi[bdefrj] [num]		pia	print all possible opcodes (byte per byte)
pi[bdefrj] [num]		pib	print instructions of basic block
pi[bdefrj] [num]		pid	alias for pdi
pi[bdefrj] [num]		pie[?]	print offset + esil expression
pi[bdefrj] [num]		piE[?]	same as pie but taking an amount of bytes instead of instructions
pi[bdefrj] [num]		pif[?]	print instructions of function
pi[bdefrj] [num]		pij	print N instructions in JSON
pi[bdefrj] [num]		pir	like 'pdr' but with 'pI' output
pi[bdefrj] [num]		piu[q] [optype]	disassemble until instruction of given optype is found (See /atl)
pi[bdefrj] [num]		pix	[hexpairs] alias for pdx and pad
pie[bqf]	# print esil of N instructions	pie	print esil of N instructions
pie[bqf]	# print esil of N instructions	pieb	alias for `pie $Fi`
pie[bqf]	# print esil of N instructions	pieq	alias for `pie $Fi`  but hiding the offset
pie[bqf]	# print esil of N instructions	pief	print esil of all the function basic blocks
pie[bqf]	# print esil of N instructions	piefq	print esil of all the function basic blocks  but hiding the offset
piE[q]	# print esil of N bytes	piE	print esil of the instructions found in N bytes
piE[q]	# print esil of N bytes	piEq	print esil of the instructions found in N bytes  but without displaying the instruction address
pif[cj]	# print instructions from function	pif	print function instructions
pif[cj]	# print instructions from function	pifj	print function instructions  but in JSON format
pif[cj]	# print instructions from function	pifc	print all calls from this function
pif[cj]	# print instructions from function	pifcj	print all calls from this function in JSON format
pi[bdefrj] [num]		pia	print all possible opcodes (byte per byte)
pi[bdefrj] [num]		pib	print instructions of basic block
pi[bdefrj] [num]		pid	alias for pdi
pi[bdefrj] [num]		pie[?]	print offset + esil expression
pi[bdefrj] [num]		piE[?]	same as pie but taking an amount of bytes instead of instructions
pi[bdefrj] [num]		pif[?]	print instructions of function
pi[bdefrj] [num]		pij	print N instructions in JSON
pi[bdefrj] [num]		pir	like 'pdr' but with 'pI' output
pi[bdefrj] [num]		piu[q] [optype]	disassemble until instruction of given optype is found (See /atl)
pi[bdefrj] [num]		pix	[hexpairs] alias for pdx and pad
pie[bqf]	# print esil of N instructions	pie	print esil of N instructions
pie[bqf]	# print esil of N instructions	pieb	alias for `pie $Fi`
pie[bqf]	# print esil of N instructions	pieq	alias for `pie $Fi`  but hiding the offset
pie[bqf]	# print esil of N instructions	pief	print esil of all the function basic blocks
pie[bqf]	# print esil of N instructions	piefq	print esil of all the function basic blocks  but hiding the offset
piE[q]	# print esil of N bytes	piE	print esil of the instructions found in N bytes
piE[q]	# print esil of N bytes	piEq	print esil of the instructions found in N bytes  but without displaying the instruction address
pif[cj]	# print instructions from function	pif	print function instructions
pif[cj]	# print instructions from function	pifj	print function instructions  but in JSON format
pif[cj]	# print instructions from function	pifc	print all calls from this function
pif[cj]	# print instructions from function	pifcj	print all calls from this function in JSON format
pj[..] [size]		pj	print current block as indented JSON
pj[..] [size]		pj.	print as indented JSON from 0 to the current offset
pj[..] [size]		pj..	print JSON path from 0 to the current offset
pm [file|directory]	Set libmagic reference file or directory (see /m?)	pm [file|directory]	set libmagic reference (see /m?)
pm [file|directory]	Set libmagic reference file or directory (see /m?)	e dir.magic	defaults to /usr/local/share/radare2/5.9.7/magic
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	po[24aAdlmorsx]	without hexpair values, clipboard is used
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	po2 [val]	2= 2 byte endian swap
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	po4 [val]	4= 4 byte endian swap
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poa [val]	+= addition (f.ex: poa 0102)
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poA [val]	&= and
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	pod [val]	/= divide
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poD [algo] [key] [iv]	Print block decryption
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poE [algo] [key] [iv]	Print block encryption
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	pol [val]	<<= shift left
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	pom [val]	*= multiply
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poo [val]	|= or
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	por [val]	>>= shift right
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	pos [val]	-= substraction
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	pox [val]	^= xor (f.ex: pox 0x90)
po[24aAdlmorsxS]	[hexpairs] @ addr[!bsize] (see also `poke`)	poS [algo] [key]	Compute and print block signature
pp[d]	print patterns	pp0	print buffer filled with zeros
pp[d]	print patterns	pp1	print incremental byte pattern (honor lower bits of cur address and bsize)
pp[d]	print patterns	pp2	print incremental word pattern
pp[d]	print patterns	pp4	print incremental dword pattern
pp[d]	print patterns	pp8	print incremental qword pattern
pp[d]	print patterns	ppa[lu]	latin alphabet (lowercase, uppercases restrictions)
pp[d]	print patterns	ppd	print debruijn pattern (see ragg2 -P, -q and wopD)
pp[d]	print patterns	ppf	print buffer filled with 0xff
pp[d]	print patterns	ppn	numeric pin patterns
pq[?z] [len]	generate QR code in ascii art	pq 32	print QR code with the current 32 bytes
pq[?z] [len]	generate QR code in ascii art	pqz	print QR code with current string in current offset
pr[glx] [size]	print N raw bytes	prc[=fep..]	print bytes as colors in palette
pr[glx] [size]	print N raw bytes	prg[?]	print raw GUNZIPped block
pr[glx] [size]	print N raw bytes	pri[aA12r]	print raw image, 1bit image, honor hex.cols
pr[glx] [size]	print N raw bytes	print[f][ln]	print, println, printf, printfln
pr[glx] [size]	print N raw bytes	prl	print raw with lines offsets
pr[glx] [size]	print N raw bytes	prx	printable chars with real offset (hyew)
pr[glx] [size]	print N raw bytes	prz	print raw zero terminated string
prg[?ilo]	[len]	prg	print gunzipped data of current block
prg[?ilo]	[len]	prgl	decompress current block using LZ4 (adjust blocksize)
prg[?ilo]	[len]	prgi	show consumed bytes when inflating
prg[?ilo]	[len]	prgo	show output bytes after inflating
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	ps[j]	print string until a first non-printable character
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	ps+[j]	print libc++ std::string (same-endian, ascii, zero-terminated)
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psa	print any type of string (psp/psw/psW/psz/..)
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psb	print strings in current block
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psi	print string inside curseek
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psn[l] [len]	print string until newline
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psp[?][j]	print pascal string
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psq	alias for pqs
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	pss	print string in screen (wrap width)
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	pso[j]	print string constructed with immediates (Swift)
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psu[zj]	print utf16 unicode (json)
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psw[j]	print 16bit wide string
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psW[j]	print 32bit wide string
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psx	show string with escaped chars
ps[abijqpsuwWxz+] [len]	Print String (optionally specify the length)	psz[?] [lj]	print zero-terminated string
psp[124j]	Print pascal string	psp	print zero-terminated string, taking length defined by the first byte (psp1)
psp[124j]	Print pascal string	psp1	same as psp
psp[124j]	Print pascal string	psp2	same as psp, but taking 2 byte for length
psp[124j]	Print pascal string	psp4	same as psp, but using 4 byte dword (honoring cfg.bigendian) for length
psp[124j]	Print pascal string	pspj	print pascal string in JSON
psp[124j]	Print pascal string	pspw	print zero-terminated 16bit wide string, taking length in bytes defined by the first byte (pspw1)
psp[124j]	Print pascal string	pspw1	same as pspw
psp[124j]	Print pascal string	pspw2	same as pspw, but taking 2 byte for length
psp[124j]	Print pascal string	pspw4	same as pspW, but using 4 byte dword (honoring cfg.bigendian) for length
psp[124j]	Print pascal string	pspwj	print pascal 16bit wide string in JSON
psp[124j]	Print pascal string	pspW	print zero-terminated 32bit wide string, taking length in bytes defined by the first byte (pspW1)
psp[124j]	Print pascal string	pspW1	same as pspW
psp[124j]	Print pascal string	pspW2	same as pspW, but taking 2 byte for length
psp[124j]	Print pascal string	pspW4	same as pspW, but using 4 byte dword (honoring cfg.bigendian) for length
psp[124j]	Print pascal string	pspWj	print pascal 32bit wide string in JSON
psz[jl]	Print zero-terminated string	psz	print zero-terminated string
psz[jl]	Print zero-terminated string	psz*	r2 command to write the null-terminated string in here
psz[jl]	Print zero-terminated string	pszj	print zero-terminated string as json
psz[jl]	Print zero-terminated string	pszl	print strlen of zero-terminated string in current address
pt [dn]	print timestamps	pt.	print current time
pt [dn]	print timestamps	pt	print UNIX time (32 bit `cfg.bigendian`) Since January 1, 1970
pt [dn]	print timestamps	ptb	print BEAT time (Swatch Internet Time)
